20190610,Atlanta United vs New England Revolution,N 1
20190610,Philadelphia Union vs New York City FC,N 1
20190610,Dynamo Houston vs Los Angeles Galaxy,N 1
20190610,Montreal Impact vs Red Bull New York,2
20190610,Washington DC United vs FC Cincinnati,1
20190610,Los Angeles FC vs Colorado Rapids,1
20190610,FC Dallas vs Kansas City Wizards,1
20190610,Orlando City vs Chicago Fire,N
20190610,Orlando City vs Chicago Fire,
20190610,Artsakh FC vs Gandzasar FC,1
20190610,Artsakh FC vs Gandzasar FC,
20190610,FK Borac Banja Luka vs FK Željeznicar Sarajevo,N 2
20190610,FK Borac Banja Luka vs FK Željeznicar Sarajevo,
20190610,Union St. Gilloise vs FC.O. Beerschot-Wilrijk,1
20190610,Los Millionarios vs Patriotas Boyacá,1
20190610,Jaguares de Córdoba vs Once Caldas,2
20190610,Cúcuta Deportivo vs Alianza Petrolera,N 1
20190610,Atlético Huila vs Envigado FC,1
20190610,Deportivo Pasto vs Deportes Tolima,N 2
20190610,Unión Magdalena vs Ríonegro Águilas,1
20190610,Atlético Nacional vs Atlético Junior,1
20190610,FK Viktoria Žižkov vs FK Slavoj Vysehrad,1
20190610,Slovan Varnsdorf vs FC Graffin Vlašim,N 1
20190610,Slovan Varnsdorf vs FC Graffin Vlašim,
20190610,CD Olmedo vs Independiente del Valle,2
20190610,CD Olmedo vs Independiente del Valle,
20190610,Paide Linnameeskond vs JK Nomme Kalju,N 1
20190610,FC Levadia Tallinn vs JK Maag Tammeka,1
20190610,Chikhura Sachkhere vs WIT Georgia Tblisi,1
20190610,Olimpi Rustavi vs Saburtalo Tbilisi,2
20190610,Dinamo Batumi vs Dinamo Tbilisi,N 1
20190610,Dinamo Batumi vs Dinamo Tbilisi,
20190610,Shonan Bellmare vs Kawasaki Frontale,2
20190610,Urawa Red Diamonds vs Shimizu S-Pulse,2
20190610,Cerezo Osaka vs Kashima Antlers,N 1
20190610,Cerezo Osaka vs Kashima Antlers,
20190610,Suwon Samsung vs FC Seoul,N 2
20190610,Seongnam FC vs Daegu FC,2
20190610,Sangju Sangmu Phoenix vs Gangwon FC,N 1
20190610,Pohang Steelers vs Ulsan Hyundai,N 2
20190610,Jeju United vs Gyeongnam FC,N 1
20190610,Incheon United FC vs Jeonbuk Hyundai Motors,2
20190610,Incheon United FC vs Jeonbuk Hyundai Motors,
20190610,CSF Speranta Nisporeni vs Zimbru Chisinau,N 1
20190610,FC Codru Lozova vs FC Sfintul Gheorghe,2
20190610,FK Škendija 79 vs FK Vardar Skopje,N
20190610,FK Rabotnicki Skopje vs FK Renova Dzepciste,1
20190610,Makedonija Gjorce Petrov vs FC Shkupi,N 1
20190610,FK Borec vs FC Struga,1
20190610,Akademija Pandev vs FK Sileks Kratovo,1
20190610,Akademija Pandev vs FK Sileks Kratovo,
20190610,Deportivo Capiatá vs Cerro Porteno,2
20190610,Olimpia Asuncion vs Nacional Asuncion,1
20190610,General Diaz vs Deportivo Santaní,1
20190610,General Diaz vs Deportivo Santaní,
20190610,Brantford Galaxy SC vs Real Mississauga,2
20190610,Hamilton City vs Kingsman SC,1
20190610,Hamilton City vs Kingsman SC,
20190610,FC Vaduz vs FC Stade LS Ouchy,N
20190610,Chemnitzer FC vs MSV Duisburg,2
20190610,FC Bayern Munchen II vs Eintracht Braunschweig,2
20190610,Viktoria Aschaffenburg vs TSV Buchbach,1
20190610,SV Schalding-Heining vs FC Augsburg II,N 2
20190610,1. FC Schweinfurt 05 vs 1. FC Nürnberg II,1
20190610,Altona 93 vs ETSV Weiche,N 2
20190610,Lüneburger SK Hansa vs HSC Hannover,1
20190610,VfL Lübeck vs Werder Bremen II,1
20190610,FC St. Pauli 1910 II vs Holstein Kiel II,N 2
20190610,TSV Havelse vs Eintracht Norderstedt 03,N 1
20190610,SV Drochtersen/Assel vs VfB Oldenburg,N 1
20190610,Wacker Nordhausen vs FC Energie Cottbus,1
20190610,FSV Union Fürstenwalde vs VSG Altglienicke,N 2
20190610,Bischofswerdaer FV vs Hertha BSC Berlin II,2
20190610,Berliner FC Dynamo vs VfB Auerbach,N 2
20190610,Berliner AK vs FSV Optik Rathenow,1
20190610,BSG Chemie Leipzig vs 1. FC Lokomotive Leipzig,2
20190610,Bonner SC vs Alemannia Aachen,N 2
2019 Denmark 1st Division, vs ,N
20190610,Vejle BK vs Vendsyssel FF,1
20190610,Nykobing FC vs BK Fremad Amager,2
20190610,Koge BK vs Skive IK,N 1
20190610,FC Roskilde vs Viborg FF,N
20190610,FC Roskilde vs Viborg FF,
20190610,AC Pistoiese vs Olbia Calcio 1905,1
20190610,US Alessandria 1912 vs Citta di Pontedera,1
20190610,US Pianese vs Juventus Torino U23,1
20190610,US Pergolettese 1932 vs AC Renate,2
20190610,AC Arezzo vs AC Monza Brianza,2
20190610,Calcio Albinoleffe vs SS Robur Siena,2
20190610,AC Gozzano vs Carrarese Calcio,2
20190610,Pro Patria Calcio vs Calcio Lecco 1912,1
20190610,Pro Patria Calcio vs Calcio Lecco 1912,
20190610,SS Sambenedettese vs Piacenza Calcio,N 2
20190610,Südtirol Alto Adige vs Modena FC 2018,N 2
20190610,US Triestina Calcio vs Ravenna Calcio,1
20190610,Carpi FC 1909 vs FeralpiSalo,1
20190610,Imolese Calcio vs Alma Juve Fano 1906,N 2
20190610,Padova Calcio vs FC ArzignanoChiampo,1
20190610,Rimini Calcio vs Virtus Verona,N 2
20190610,Reggio Audace FC vs AS Gubbio 1910,1
20190610,Reggio Audace FC vs AS Gubbio 1910,
20190610,US Vibonese vs Casertana,1
20190610,AS Calcio Potenza vs AS Viterbese Castrense,N 1
20190610,Sicula Leonzio vs SS Monopoli 1966,N 2
20190610,US Avellino 1912 vs Rende Calcio 1968,1
20190610,Paganese Calcio 1926 vs Reggina 1914,1
20190610,US Catanzaro 1929 vs Virtus Francavilla,1
20190610,SSC Bari vs SS Cavese Calcio,1
20190610,AS Bisceglie Calcio vs AZ Picerno Calcio,2
20190610,Ternana Calcio vs Calcio Catania,N 1
2019 Japan Division 2, vs ,N
20190610,FC Gifu vs Yamaguchi FC,N 2
20190610,Kyoto Purple Sanga vs Ehime FC,1
20190610,Mito HollyHock vs Omiya Ardija,N 2
20190610,Tochigi SC vs Tokushima Vortis,2
20190610,Yokohama FC vs Kashiwa Reysol,N 2
20190610,Zweigen Kanazawa vs Ventforet Kofu,2
20190610,JEF United Chiba vs Montedio Yamagata,2
2019 Korea K-League 2, vs ,N
20190610,Asan Mugunghwa FC vs Gwangju FC,2
2019 Norway Division 1, vs ,N
20190610,Strommen IF vs Nest-Sotra Fotball,N 2
20190610,KFUM Oslo vs TUIL Tromsdalen,1
20190610,Ham Kam vs Skeid Oslo,1
20190610,Sandnes Ulf vs Sogndal IS,1
20190610,Notodden FK vs Ullensaker/Kisa,N 1
20190610,Kongsvinger IL vs Sandefjord Fotball,2
20190610,Aalesund FK vs Raufoss Fotball,1
20190610,Olimpia Grudziadz vs Stomil Olsztyn,1
